Origin,Destination,Weight (m3)
27,30,752020278.7
30,30,6933840305
31,30,180143722.9
34,30,25767211.82
36,30,3648722.999
38,30,3412362396
41,30,17066387399
45,30,29175764.13
46,30,17295520.25
48,30,206507007.6
49,30,133135745.6
51,30,28063848.71
53,30,15544866020
55,30,663522.9719
56,30,84769343.03
1,31,223831169.9
6,31,8068410083
8,31,5861265475
17,31,5154997438
19,31,447057829.3
20,31,826297547.1
22,31,3390629338
27,31,125091514.6
29,31,749413368.6
31,31,101588861974
36,31,1385849411
38,31,45867873.31
46,31,143629217.3
47,31,1591222699
48,31,8972759558
53,31,478110021.9
4,32,592129.3728
6,32,14680619.54
8,32,131189.4174
9,32,3442.085092
12,32,3369.252787
16,32,7069.740829
18,32,96539.22059
23,32,6759.74833
25,32,6105.623188
26,32,147814.3773
27,32,813.6734101
32,32,196872001.6
35,32,33050.92078
36,32,21003.01602
37,32,2061.154238
39,32,84765.57498
41,32,80268.9388
42,32,10516.68141
49,32,8306912.244
50,32,151268.146
53,32,1934733.061
55,32,71683.29975
1,34,139186.4547
2,34,47606.6003
4,34,277749.0529
6,34,19866625.06
8,34,1312478.757
9,34,135346186.2
10,34,369644347.9
12,34,19994956
13,34,9672053.081
16,34,206105.9654
17,34,3676579.68
18,34,2706035.044
19,34,1668698.178
20,34,18466.79757
21,34,1647805.911
22,34,198149.9946
24,34,465564314
25,34,206660312.5
26,34,476607.5152
27,34,304914.8622
28,34,158971.8118
29,34,155655.7782
32,34,779551.3798
33,34,14287150.69
34,34,3443078141
35,34,573021.5483
36,34,887364060.9
37,34,1969655.095
38,34,309134.4958
39,34,6986694.606
41,34,306848.2908
42,34,1431382835
44,34,14409035.88
45,34,1466360.371
46,34,35489.61653
47,34,1280308.494
48,34,7119898.84
49,34,56163.10881
50,34,85737.78925
51,34,7950341.6
53,34,4727722.031
55,34,6421469.441
4,35,168839.4095
6,35,472278.9335
8,35,24932528.06
9,35,2008.893381
12,35,4322744.53
13,35,12160.68323
15,35,129112.5602
16,35,4437.689151
17,35,137815.3266
18,35,21287.82828
19,35,2636.126668
20,35,60192.34137
21,35,5394.315445
23,35,60444.10812
24,35,1795862.466
25,35,472456.6769
26,35,161236.7306
27,35,599101.792
29,35,80261.73215
30,35,17862.66507
31,35,3989648.39
32,35,3622434.471
34,35,112685.708
35,35,645900523.1
36,35,111457.8811
37,35,79108.80203
38,35,27852.87002
40,35,64250.08764
41,35,160670.5284
42,35,49964.56294
45,35,13675.21416
47,35,35468.97787
48,35,151835954.9
49,35,4448.60705
50,35,3364178.234
51,35,33153.40071
53,35,104154.3527
55,35,88551.58354
56,35,26990.57437
1,36,991693.127
2,36,620.3096998
4,36,6482.244968
5,36,1006248.864
6,36,35946029.52
8,36,1037344.662
9,36,87531297.03
10,36,55005164.82
12,36,59837113.15
13,36,53514659.75
15,36,52268.47821
16,36,19050.84503
17,36,34553205.12
18,36,38818753.32
19,36,593901.5905
20,36,4242.177164
21,36,1304087.643
22,36,1676.608831
23,36,18493269.79
24,36,26091252.04
25,36,567022428.5
26,36,5836911.253
27,36,1719675.293
28,36,309.495129
29,36,1030719.057
30,36,3768.153392
31,36,3669.080531
32,36,5760.28089
33,36,29057.26141
34,36,1020977892
35,36,113029.2848
36,36,14340834657
37,36,2710449.171
38,36,117839.2234
39,36,6570892.461
40,36,236850.6848
41,36,458550.45
42,36,407070481.6
44,36,880366.553
